name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
South Africa,2022-02-26,29.1,15.8,21.5,29,15.8,21.5,14,64.6,0.589,100,4.17,rain,0,0,24.8,14,271.9,1021.7,37.7,15.4,239.4,20.6,8,10,2022-02-26T05:59:23,2022-02-26T18:40:33,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"68264399999,FALA,68264099999,FAWB,68263099999,68263599999,68269099999,68267499999,FAOR,F8815,FAWK"
South Africa,2022-02-27,29.3,16.1,20.7,29.6,16.1,20.7,15.5,74.4,0.4,100,4.17,rain,0,0,31.7,15.3,79.8,1021.3,46.6,16.4,185.4,15.8,7,10,2022-02-27T05:59:58,2022-02-27T18:39:37,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"68264399999,FALA,68264099999,FAJB,FAWB,68263099999,68263599999,68269099999,F8815,FAOR,FAWK"
South Africa,2022-02-28,28.3,15.2,20.2,29.7,15.2,20.3,15.3,75.4,4.123,100,8.33,rain,0,0,38.8,17.7,48.9,1020.9,45.1,13.3,223.1,19.3,9,10,2022-02-28T06:00:32,2022-02-28T18:38:41,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"68264399999,68264099999,FAWB,68263099999,68263599999,68269099999,68267499999,68267299999,FAWK,FALA,FASI,FAJB,F8815,FAOR"
South Africa,2022-03-01,28.7,15.7,21.2,28.7,15.7,21.2,14.8,69.5,0.3,100,12.5,rain,0,0,31.7,15.6,279.3,1019.5,37.5,12.9,269.3,21.4,9,10,2022-03-01T06:01:05,2022-03-01T18:37:45,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"68264399999,68264099999,68363099999,FAWB,68263099999,68263599999,68269099999,68267299999,68267499999,FAWK,FALA,FASI,68361099999,FAJB,FAOR,F8815"
South Africa,2022-03-02,24.9,16.7,20.1,24.9,16.7,20.1,16.3,79.6,3.019,100,12.5,rain,0,0,24.1,19.9,43,1019.4,46.6,13.9,148.1,11.7,6,10,2022-03-02T06:01:38,2022-03-02T18:36:48,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"68264399999,68264099999,FAWB,68263099999,68263599999,68269099999,68267499999,FAWK,FALA,FASI,FAJB,FAOR,F8815"
South Africa,2022-03-03,29.9,16,21.8,30,16,21.9,15.5,69.4,0.196,100,4.17,rain,0,0,20.2,14.6,6.6,1019.7,38.1,12.3,218.7,17.3,7,10,2022-03-03T06:02:11,2022-03-03T18:35:50,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"FALA,68264399999,68264099999,FASI,FAJB,68263099999,FAWB,68263599999,68269099999,FAOR,F8815,FAWK"
South Africa,2022-03-04,28.6,17.9,22.7,28.9,17.9,22.8,15.6,65.4,1.6,100,25,rain,0,0,27.4,16.3,344.6,1019.2,53.2,12.4,194.1,15.3,7,10,2022-03-04T06:02:43,2022-03-04T18:34:51,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"FALA,68264099999,FASI,FAJB,68263099999,68263599999,68269099999,68267499999,68267299999,FAOR,F8815,FAWK"
South Africa,2022-03-05,29,16.7,21.3,29.5,16.7,21.4,16,73.1,7.908,100,4.17,rain,0,0,40.3,17.4,114,1021.6,57.6,11.2,187.2,14.8,9,10,2022-03-05T06:03:16,2022-03-05T18:33:52,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"68264399999,68264099999,68263099999,FAWB,68263599999,68269099999,68267299999,68267499999,FAWK,FALA,FASI,FAJB,FAOR,F8815"
South Africa,2022-03-06,28.4,14.9,20.3,28.1,14.9,20.3,13.8,68.5,3.927,100,4.17,rain,0,0,36,17.4,76.3,1022.7,49.5,12.3,196.8,15.6,7,10,2022-03-06T06:03:47,2022-03-06T18:32:53,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"68264399999,68264099999,FAGM,68263099999,FAWB,68263599999,68269099999,FAWK,FALA,FAJB,68346399999,FAOR,F8815"
South Africa,2022-03-07,30.4,15.3,21.4,29.5,15.3,21.4,14.1,65.8,0.1,100,4.17,rain,0,0,34.2,15.5,32.7,1021.2,37,12.5,261.2,21.7,10,10,2022-03-07T06:04:19,2022-03-07T18:31:53,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"FALA,68264399999,68264099999,FAJB,68263099999,FAWB,68263599999,68269099999,68267299999,FAOR,F8815,FAWK"
